<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
LKOH,D,20120502,000000,1771.8000000
LKOH,D,20120503,000000,1775.4000000
LKOH,D,20120504,000000,1720.0000000
LKOH,D,20120505,000000,1712.2000000
LKOH,D,20120507,000000,1716.4000000
LKOH,D,20120508,000000,1705.0000000
LKOH,D,20120510,000000,1745.0000000
LKOH,D,20120511,000000,1735.0000000
LKOH,D,20120512,000000,1687.0000000
LKOH,D,20120514,000000,1643.0000000
LKOH,D,20120515,000000,1688.9000000
LKOH,D,20120516,000000,1657.0000000
LKOH,D,20120517,000000,1590.8000000
LKOH,D,20120518,000000,1593.7000000
LKOH,D,20120521,000000,1640.0000000
LKOH,D,20120522,000000,1629.0000000
LKOH,D,20120523,000000,1601.0000000
LKOH,D,20120524,000000,1645.8000000
LKOH,D,20120525,000000,1639.4000000
LKOH,D,20120528,000000,1667.0000000
LKOH,D,20120529,000000,1724.9000000
LKOH,D,20120530,000000,1702.6000000
LKOH,D,20120531,000000,1720.0000000
LKOH,D,20120601,000000,1741.9000000
LKOH,D,20120604,000000,1733.0000000
LKOH,D,20120605,000000,1714.8000000
LKOH,D,20120606,000000,1730.5000000
LKOH,D,20120607,000000,1709.0000000
LKOH,D,20120608,000000,1711.7000000
LKOH,D,20120609,000000,1710.2000000
LKOH,D,20120613,000000,1708.3000000
LKOH,D,20120614,000000,1714.0000000
LKOH,D,20120615,000000,1737.0000000
LKOH,D,20120618,000000,1749.1000000
LKOH,D,20120619,000000,1746.3000000
LKOH,D,20120620,000000,1746.2000000
LKOH,D,20120621,000000,1737.0000000
LKOH,D,20120622,000000,1715.0000000
LKOH,D,20120625,000000,1706.8000000
LKOH,D,20120626,000000,1733.9000000
LKOH,D,20120627,000000,1773.1000000
LKOH,D,20120628,000000,1767.7000000
LKOH,D,20120629,000000,1801.7000000
LKOH,D,20120702,000000,1805.0000000
LKOH,D,20120703,000000,1831.7000000
LKOH,D,20120704,000000,1840.0000000
LKOH,D,20120705,000000,1838.5000000
LKOH,D,20120706,000000,1825.4000000
LKOH,D,20120709,000000,1829.8000000
LKOH,D,20120710,000000,1823.8000000
LKOH,D,20120711,000000,1803.1000000
LKOH,D,20120712,000000,1803.0000000
LKOH,D,20120713,000000,1818.0000000
LKOH,D,20120716,000000,1841.0000000
LKOH,D,20120717,000000,1855.4000000
LKOH,D,20120718,000000,1835.0000000
LKOH,D,20120719,000000,1820.0000000
LKOH,D,20120720,000000,1804.9000000
LKOH,D,20120723,000000,1801.6000000
LKOH,D,20120724,000000,1781.0000000
LKOH,D,20120725,000000,1774.8000000
LKOH,D,20120726,000000,1789.9000000
LKOH,D,20120727,000000,1816.6000000
LKOH,D,20120730,000000,1834.8000000
LKOH,D,20120731,000000,1828.0000000
LKOH,D,20120801,000000,1836.8000000
LKOH,D,20120802,000000,1820.0000000
LKOH,D,20120803,000000,1831.5000000
LKOH,D,20120806,000000,1847.0000000
LKOH,D,20120807,000000,1873.4000000
LKOH,D,20120808,000000,1875.0000000
LKOH,D,20120809,000000,1877.0000000
LKOH,D,20120810,000000,1859.3000000
LKOH,D,20120813,000000,1882.0000000
LKOH,D,20120814,000000,1889.0000000
LKOH,D,20120815,000000,1866.0000000
LKOH,D,20120816,000000,1866.2000000
LKOH,D,20120817,000000,1871.9000000
LKOH,D,20120820,000000,1856.1000000
LKOH,D,20120821,000000,1875.0000000
